,City,Cloudiness,Humidity,Lat,Max Temp,Wind Speed
0,Busselton,0,100,-33.64,63.39,18.92
1,Bambous Virieux,75,88,-20.34,80.6,2.24
2,Hilo,90,84,19.71,75.92,10.29
3,Aonla,0,87,28.27,49.44,5.61
4,Mar del Plata,0,47,-46.43,72.89,7.07
5,Bambanglipuro,68,95,-7.95,75.36,4.16
6,Yellowknife,75,66,62.45,-29.21,3.38
7,Bowen,75,94,-20.01,75.2,6.93
8,Puerto Escondido,5,62,15.86,84.2,9.17
9,Hobart,75,77,-42.88,62.6,13.87
10,Arraial do Cabo,20,78,-22.97,80.6,14.99
11,Butaritari,36,100,3.07,83.69,20.94
12,Zhezkazgan,24,53,47.8,-0.33,7.63
13,Bethel,90,100,60.79,30.69,10.29
14,Victoria,75,100,5.28,76.21,2.37
15,Rikitea,0,100,-23.12,81.84,7.63
16,Vaini,0,62,15.34,65.33,6.96
17,Atuona,12,100,-9.8,79.59,14.79
18,Chokurdakh,36,52,70.62,-30.84,9.31
19,Mataura,68,49,-46.19,70.19,24.74
20,Sinnamary,92,93,5.38,80.22,13.78
21,Coronado,20,66,8.53,86.14,14.99
22,Bluff,88,74,-23.58,77.66,14.12
23,Cerrito,40,78,6.84,75.2,6.93
24,Eureka,90,92,40.8,47.16,9.17
25,Buala,92,100,-8.15,74.78,6.62
26,Cidreira,88,75,-30.17,70.41,9.53
27,Bilecik,0,93,40.14,35.08,2.24
28,Dikson,24,85,73.51,-8.61,11.77
29,Faanui,92,100,-16.48,82.16,11.65
30,Avarua,90,94,-21.21,78.8,6.93
31,Albany,40,53,42.65,41.05,8.05
32,Samarai,32,93,-10.62,87.2,10.54
33,Mitchell,90,76,43.71,14.0,20.8
34,Puerto Ayora,20,70,-0.74,84.2,8.05
35,Saint-Philippe,90,85,45.36,10.69,12.75
36,Airai,36,83,-8.93,76.13,1.59
37,Nouadhibou,80,72,20.93,62.6,18.34
38,Vao,80,93,59.1,31.22,9.19
39,Hami,80,76,42.84,13.67,4.94
40,Sorong,76,100,-0.86,81.53,9.42
41,Beringovskiy,36,85,63.05,27.39,9.98
42,Cedral,12,63,23.82,63.53,2.93
43,Naze,20,83,5.43,82.4,5.61
44,Newala,20,99,-10.94,69.74,2.82
45,Constitucion,40,14,23.99,75.2,11.41
46,Tura,0,78,25.52,48.14,1.7
47,Narsaq,76,85,60.91,23.0,5.82
48,Mandurah,0,63,-32.55,60.8,17.22
49,Punta Arenas,0,33,-53.16,71.6,23.04
50,Ancud,0,24,-41.87,89.6,6.93
51,Port-Gentil,40,94,-0.72,80.6,3.36
52,Colac,64,69,-38.34,68.07,4.72
53,Hithadhoo,12,98,-0.6,83.96,10.31
54,Ushuaia,0,45,-54.81,66.2,23.04
55,Husavik,88,85,50.56,-6.18,15.46
56,Pevek,32,92,69.7,-11.13,16.69
57,Lebu,0,71,8.96,37.74,2.59
58,Rorvik,0,79,64.86,23.0,12.75
59,Te Anau,36,58,-45.41,62.63,15.23
60,Castro,0,24,-42.48,89.6,6.93
61,Talnakh,0,54,69.49,-31.34,6.29
62,Canazas,20,66,8.38,86.0,6.93
63,Caravelas,0,100,-17.73,81.98,18.25
64,Conakry,0,100,9.52,79.28,8.52
65,Lypova Dolyna,92,93,50.56,34.77,11.99
66,Ribeira Grande,75,88,38.52,62.6,6.93
67,Marrakesh,0,61,31.63,46.4,2.24
68,Barrow,0,69,-38.31,63.08,7.18
69,College,1,86,64.86,7.63,8.97
70,Nemuro,92,96,43.32,33.65,30.44
71,Ritchie,0,45,-29.03,68.0,6.93
72,Alta Floresta,20,80,-9.87,80.76,2.37
73,Nicoya,0,46,10.15,89.6,23.04
74,Ulkan,20,63,57.24,-35.39,2.48
75,Nata,0,81,34.78,50.0,8.05
76,Cockburn Town,8,100,21.46,78.02,14.67
77,Jamestown,0,43,-33.21,75.54,13.67
78,Cabo San Lucas,75,73,22.89,75.33,4.7
79,Samsun,0,86,41.29,37.4,2.24
80,Hermanus,88,97,-34.42,62.99,2.59
81,Kulhudhuffushi,68,100,6.62,81.12,8.97
82,Port Keats,44,77,-14.25,88.1,16.91
83,Qaanaaq,8,80,77.48,-18.96,3.15
84,Punta de Piedra,0,65,7.62,73.92,2.15
85,Longyearbyen,75,68,78.22,26.6,4.7
86,Severo-Kurilsk,44,100,50.68,27.66,15.68
87,Spydeberg,40,84,59.61,12.49,3.49
88,Pacific Grove,90,80,36.62,53.82,9.17
89,Laguna,75,38,27.52,77.0,6.93
90,Kapaa,20,60,22.08,78.66,17.22
91,Cape Town,0,88,-33.93,66.2,11.41
92,Esperance,20,65,10.24,80.6,16.11
93,Lebedinyy,48,62,58.52,-35.3,3.27
94,Erzin,0,86,36.95,42.26,4.7
95,San Policarpo,0,91,12.18,79.01,14.23
96,Yatou,20,88,3.63,82.4,3.36
97,Nizhniy Tsasuchey,0,41,50.52,-27.78,3.71
98,Ayan,0,70,40.67,19.7,1.7
99,Biak,0,93,-0.91,81.35,3.15
100,Port Alfred,76,92,-33.59,68.34,11.43
101,Lorengau,92,100,-2.02,79.77,10.76
102,Potosi,75,76,-19.59,50.0,8.05
103,Carnarvon,0,65,-30.97,59.61,11.65
104,Piney Green,1,75,35.09,55.92,4.7
105,Saldanha,0,79,41.42,22.58,2.59
106,Cairns,90,94,-16.92,80.6,2.24
107,Kirakira,56,100,-10.46,78.96,11.32
108,Codrington,90,83,-28.95,77.67,3.6
109,Talas,0,74,38.69,30.2,6.93
110,Savelugu,44,88,9.63,73.79,3.38
111,Araouane,0,38,18.9,61.19,12.66
112,Sitka,0,40,37.17,62.27,9.08
113,Were Ilu,0,82,10.6,34.32,0.92
114,Atambua,92,100,-9.11,75.05,3.38
115,East London,0,100,-33.02,70.82,21.05
116,Lubao,75,88,14.94,75.79,2.24
117,Langxiang,0,49,46.95,-9.56,3.71
118,Vila Franca do Campo,75,88,37.72,62.6,12.75
119,Ahipara,20,74,-35.17,74.69,10.87
120,Thompson,75,62,55.74,-13.01,6.93
121,Chabahar,92,100,25.29,66.5,7.96
122,Tuktoyaktuk,75,76,69.44,-11.21,12.75
123,Nizhniy Ufaley,80,71,55.91,-6.36,7.96
124,Mount Isa,90,100,-20.73,71.6,13.87
125,Touros,40,78,-5.2,82.4,8.05
126,Wembley,75,86,51.55,39.72,9.17
127,Broken Hill,0,27,-31.97,78.8,14.99
128,Ust-Kuyga,20,0,70.0,-49.97,3.49
129,Grand Bank,75,67,47.1,19.4,27.51
130,Inhambane,44,93,-23.87,77.57,8.97
131,Jumla,0,72,29.28,5.75,2.59
132,Saint George,40,100,39.45,52.16,2.59
133,Kavieng,88,100,-2.57,78.24,4.61
134,San Patricio,44,89,-26.98,71.49,2.71
135,Furano,75,92,43.28,28.4,13.87
136,Thinadhoo,12,100,0.53,82.97,14.0
137,Cherskiy,0,74,68.75,-16.85,7.4
138,Peleduy,8,0,59.63,-45.78,4.05
139,Iqaluit,75,77,63.75,-2.21,4.7
140,Upernavik,0,94,72.79,2.87,5.95
141,Fortuna,0,31,38.18,47.3,5.82
142,Aberdeen,90,75,45.47,1.94,19.46
143,New Norfolk,75,77,-42.78,62.6,13.87
144,Todos Santos,40,57,23.45,75.18,16.11
145,Arlit,0,49,18.74,57.5,5.17
146,Port Elizabeth,1,57,39.31,43.7,7.63
147,Fairbanks,1,86,64.84,7.16,8.97
148,Dzilam Gonzalez,20,81,21.28,76.44,3.94
149,Bokaa,20,78,-24.43,71.6,2.24
150,Provideniya,75,86,64.42,28.4,6.71
151,Alofi,0,66,-19.06,84.2,14.99
152,Coxim,64,91,-18.5,72.66,7.52
153,Chuy,20,80,-33.69,66.23,10.2
154,Kaitangata,80,50,-46.28,71.22,16.02
155,Nikolskoye,90,96,59.7,33.8,8.95
156,Choctaw,1,49,35.5,70.36,19.46
157,Atlantic Beach,90,93,30.33,61.93,4.7
158,Black River,20,74,18.03,80.6,10.29
159,Kuchinarai,20,82,16.54,68.0,2.71
160,Khatanga,76,61,71.98,-20.54,10.42
161,Salalah,20,73,17.01,71.6,4.7
162,Hua Hin,20,100,12.57,81.89,9.19
163,Kruisfontein,92,93,-34.0,68.12,15.9
164,Rincon,90,87,32.3,58.91,5.61
165,Tazmalt,75,100,36.39,41.0,4.7
166,Nizwa,92,91,22.93,61.28,3.71
167,Sao Joao da Barra,0,65,-21.64,82.4,11.41
168,Nantucket,1,84,41.28,35.53,14.99
169,Oranjestad,20,69,12.52,80.6,19.46
170,Porto Velho,75,83,-8.75,78.8,1.12
171,Tuy Hoa,92,99,13.08,72.71,3.38
172,Lasa,0,81,34.92,50.0,8.05
173,Acapulco,5,65,16.86,82.4,10.29
174,Damaturu,0,31,11.75,66.32,7.52
175,San Carlos del Zulia,0,57,9.0,85.31,5.61
176,Abengourou,44,94,6.73,74.37,2.71
177,Aswan,0,88,24.09,49.62,3.94
178,LaBelle,1,61,26.76,76.62,6.93
179,Canutama,8,92,-6.53,79.28,1.59
180,Magdagachi,32,32,53.45,-22.61,7.63
181,Marsh Harbour,76,100,26.54,72.8,16.8
182,Fuling,88,100,29.71,45.17,2.37
183,Nioro,0,54,13.79,72.98,4.61
184,Coari,8,90,-4.09,79.59,2.93
185,Bull Savanna,44,65,17.89,75.5,3.6
186,Dingle,12,74,11.0,77.3,13.22
187,Constantine,75,93,36.36,33.8,2.24
188,Yar-Sale,8,42,66.83,-26.16,12.88
189,Saskylakh,44,83,71.97,-18.74,13.78
190,Palana,88,74,59.08,11.37,3.27
191,Maputo,75,78,-25.97,78.8,11.41
192,Port Macquarie,0,57,-31.43,77.0,10.29
193,Smithers,20,58,54.78,-2.21,2.24
194,Ostrovnoy,0,80,68.05,-12.66,8.75
195,Deputatskiy,8,0,69.3,-51.36,2.71
196,Port Hardy,90,62,50.7,24.8,16.11
197,Tiznit,0,88,29.7,52.37,5.17
198,Tanah Merah,75,94,5.81,75.2,2.71
199,Barahona,20,78,18.21,78.8,11.41
200,Guerrero Negro,80,87,27.97,64.25,10.09
201,Havre-Saint-Pierre,40,55,50.23,8.6,13.87
202,Tierralta,20,67,8.17,81.39,11.65
203,Georgetown,75,83,6.8,80.6,9.17
204,Eyl,92,100,7.98,72.8,14.23
205,Evensk,44,100,61.92,6.56,15.23
206,Darhan,36,50,49.49,-19.28,2.93
207,Ugoofaaru,0,100,5.67,81.8,14.23
208,Stupava,0,74,48.27,37.4,13.87
209,Yarmolyntsi,80,96,49.19,35.81,10.2
210,Kidal,24,30,18.44,62.04,9.98
211,Lagoa,0,70,37.14,44.6,2.24
212,Nelson Bay,0,69,-32.72,75.2,8.05
213,Bella Union,0,60,8.5,73.61,2.48
214,Nanortalik,76,100,60.14,22.71,2.71
215,Waxahachie,90,80,32.39,69.6,14.99
216,Opuwo,32,63,-18.06,66.68,3.94
217,Congonhas,56,84,-20.5,70.64,1.59
218,Leningradskiy,76,81,69.38,-1.59,14.67
219,Koulamoutou,92,99,-1.13,69.65,0.69
220,Bredasdorp,92,88,-34.53,66.2,6.93
221,Tabou,0,98,4.42,82.29,13.67
222,Farafangana,32,100,-22.82,76.31,4.72
223,Santa Rosa,0,46,-36.62,70.14,6.4
224,Souillac,0,92,45.6,32.22,3.49
225,Komsomolskiy,0,0,67.55,-34.4,3.15
226,Magdalena,75,74,-13.26,86.0,11.21
227,Auki,0,51,12.18,64.02,2.71
228,Moron,40,58,10.49,84.2,2.71
229,Dublin,75,81,53.35,45.39,13.87
230,Ambilobe,88,100,-13.19,71.04,1.48
231,Cururupu,88,86,-1.82,78.11,5.73
232,Tigil,92,83,57.8,14.21,9.19
233,Luderitz,0,74,-26.65,61.77,19.04
234,Twentynine Palms,40,47,34.14,65.21,16.11
235,Buchanan,40,94,5.88,78.8,8.63
236,Mount Hagen,48,71,-5.86,67.67,1.03
237,Lata,0,62,30.78,31.13,2.93
238,Bang Saphan,32,98,11.21,76.58,2.71
239,Tautira,75,70,-17.73,86.0,18.34
240,Kodiak,1,77,39.95,59.88,12.75
241,Kloulklubed,75,88,7.04,78.8,5.82
242,Taoudenni,20,23,22.68,57.36,14.23
243,Saint Anthony,1,59,43.97,35.62,20.8
244,Worthington,90,95,43.62,23.5,10.29
245,Emba,0,81,34.81,50.0,8.05
246,Bonthe,8,89,7.53,78.24,4.72
247,Jaisinghnagar,0,87,23.63,57.32,7.18
248,Tasiilaq,92,41,65.61,21.2,17.22
249,Yaan,20,75,7.38,79.41,9.75
250,Flinders,24,74,-34.58,78.8,3.36
251,Gorontalo,56,96,0.54,74.78,2.48
252,Khilok,20,45,51.36,-30.53,2.93
253,Bhadrak,0,81,21.06,56.06,2.71
254,Hualmay,36,80,-11.1,73.07,5.61
255,Nizhnevartovsk,40,65,60.93,-38.21,4.47
256,Russell,40,73,-33.01,71.6,9.17
257,Pecos,1,22,31.42,76.87,21.92
258,Saint-Pierre,0,82,48.95,30.72,3.36
259,Saint-Francois,0,91,46.42,32.0,3.36
260,Kavaratti,0,100,10.57,82.79,8.19
261,Mokhsogollokh,68,43,61.4,-27.83,5.5
262,Beloha,12,77,-25.17,72.53,11.77
263,Rome,20,81,41.89,46.45,8.05
264,Ruston,90,71,32.52,66.52,5.61
265,Umm Lajj,0,100,25.02,60.2,4.16
266,Chor,0,93,25.52,52.77,9.31
267,Kendari,32,93,-3.99,77.66,3.38
268,Prainha,32,83,-1.8,80.63,5.39
269,Brae,32,93,60.4,40.42,19.46
270,Dubbo,0,45,-32.25,82.4,14.99
271,Broome,64,91,52.47,38.34,12.75
272,San Cristobal,75,60,-0.39,63.23,12.75
273,Anadyr,90,84,64.73,6.8,15.66
274,Luau,76,97,-10.7,67.13,2.26
275,Pangnirtung,20,47,66.15,15.8,20.8
276,Kahului,75,76,20.89,75.0,8.05
277,Banda Aceh,8,100,5.56,72.39,2.15
278,Ust-Tsilma,0,69,65.44,-14.87,5.95
279,Rocha,0,64,-34.48,63.98,8.08
280,Methven,0,50,-43.63,75.86,6.73
281,Aksu,0,75,52.04,-16.61,8.95
282,Richards Bay,56,99,-28.77,70.73,6.17
283,Ust-Nera,8,0,64.57,-41.78,2.26
284,La Palma,24,66,5.36,75.32,0.69
285,Otane,0,57,-39.89,75.86,2.48
286,Blagoyevo,36,57,63.37,-5.69,6.62
287,Okha,20,76,53.59,-11.76,4.94
288,Padang,40,100,-0.92,75.2,3.36
289,Grenaa,0,100,56.42,28.4,3.36
290,Daru,20,80,7.99,76.17,8.97
291,Jalu,0,36,29.03,52.82,9.42
292,Torbay,75,92,47.66,15.8,24.16
293,Inongo,92,96,-1.93,74.24,3.15
294,Bunia,0,74,1.56,61.46,2.37
295,Paramirim,64,77,-13.44,71.54,2.71
296,Chunskiy,24,38,56.08,-25.67,4.94
297,Bay Roberts,75,92,47.58,15.8,24.16
298,Mahebourg,75,88,-20.41,80.6,2.24
299,Peniche,0,93,39.36,42.8,2.24
300,Katsuura,75,71,33.93,52.48,16.11
301,Marawi,20,91,8.0,71.76,3.04
302,Dongsheng,100,85,29.72,36.26,3.04
303,Shimoda,40,87,34.7,57.2,17.22
304,Ilulissat,0,37,69.22,19.4,10.29
305,Neyyattinkara,8,98,8.4,79.14,9.42
306,Paamiut,48,100,61.99,26.9,22.84
307,La Paz,75,44,24.15,77.0,9.17
308,Caiaponia,48,90,-16.96,69.87,3.6
309,Mairi,88,93,-11.71,71.81,1.59
310,Bogale,0,99,16.29,70.1,8.19
311,Casper,40,55,42.87,42.98,29.97
312,Tilichiki,92,82,60.47,12.41,7.29
313,Pueblo Nuevo,32,53,23.99,77.66,2.93
314,Maniwaki,92,90,46.38,18.98,4.72
315,Thanh Hoa,0,94,10.21,75.2,3.36
316,Atasu,12,42,48.68,-6.23,2.82
317,Calderitas,75,74,18.55,80.6,11.41
318,Maralal,0,90,1.1,46.29,2.26
319,Urgut,40,65,39.41,46.4,9.17
320,Mantamados,44,93,39.31,52.86,6.4
321,Balkhash,20,74,46.84,-3.48,4.16
322,Tiksi,12,0,71.64,-36.2,4.94
323,Bauchi,0,55,10.31,62.49,3.15
324,Chara,40,100,39.42,51.96,2.59
325,Iquique,20,69,-20.22,75.2,17.22
326,Mayumba,92,100,-3.44,78.96,8.41
327,Sivac,0,100,45.7,37.4,4.7
328,Lubango,32,93,-14.92,61.1,1.36
329,Ponta do Sol,36,72,-20.63,76.17,3.71
330,Hamilton,40,63,32.3,64.4,2.24
331,Marsa Matruh,75,72,31.35,60.8,12.75
332,Borogontsy,76,46,62.67,-29.04,3.83
333,Labuhan,92,97,-2.54,72.66,2.93
334,Green River,20,74,41.53,32.0,17.22
335,Bayan,8,29,47.25,-23.46,4.27
336,Tocopilla,24,89,-22.09,68.12,4.05
337,Imbituba,75,94,-28.24,68.0,13.87
338,Hirara,75,94,24.8,69.85,3.36
339,Lompoc,75,82,34.64,56.95,11.41
340,San Matias,40,47,13.97,75.2,9.17
341,Kargasok,0,0,59.06,-45.69,2.59
342,Bakloh,8,53,32.47,34.46,3.15
343,Ratnagiri,0,100,16.98,76.71,8.08
344,Pavlohrad,75,93,48.53,35.6,11.18
345,Alekseyevka,75,85,53.25,14.0,6.71
346,Portland,90,78,45.52,44.89,3.36
347,Pizarro,24,90,4.95,79.41,5.95
348,Tongchuan,64,68,34.9,28.4,2.24
349,Aizawl,0,87,23.74,46.7,1.7
350,Karratha,8,75,-20.74,84.77,8.63
351,Ishigaki,75,94,24.34,71.6,2.24
352,Rengasdengklok,48,100,-6.16,79.37,5.73
353,Yerbogachen,36,85,61.28,-40.07,3.71
354,Waipawa,0,58,-39.94,76.71,3.15
355,Zhigansk,32,76,66.77,-37.55,6.4
356,Thyolo,24,91,-16.07,69.11,2.59
357,Klyuchi,56,82,52.25,-18.78,7.18
358,Carutapera,100,89,-1.2,78.06,6.96
359,Lodja,36,96,-3.52,71.63,1.92
360,Betsiamites,75,51,48.94,9.48,3.36
361,Buta,36,92,2.79,71.67,2.93
362,Norman Wells,20,67,65.28,-22.01,5.82
363,Nara,75,93,34.68,52.41,4.7
364,Alihe,0,50,50.57,-18.65,7.4
365,Vila,0,28,45.18,40.96,16.11
366,Bosaso,80,100,11.28,74.64,6.62
367,Spornoye,90,100,50.84,33.8,11.18
368,Onega,64,76,63.91,5.79,13.0
369,Manicore,8,92,-5.81,79.46,1.7
370,Katherine,75,94,-14.47,73.4,8.05
371,Coihaique,0,23,-45.58,93.2,10.29
372,San Juan,40,74,18.47,78.6,11.41
373,Tahe,0,29,52.34,-21.48,8.75
374,Hovd,75,85,63.83,21.34,5.82
375,Zonguldak,12,80,41.25,42.96,3.38
376,Dedza,48,95,-14.38,61.73,2.04
377,Doha,0,59,25.29,62.74,11.41
378,Teya,75,33,21.05,91.4,5.82
379,Singaraja,36,100,-8.11,74.37,1.03
380,Sangmelima,44,83,2.93,74.46,3.15
381,Bilma,0,42,18.69,53.45,2.93
382,Upington,0,36,-28.46,75.2,9.17
383,Machico,40,63,32.7,59.77,17.22
384,Starokostyantyniv,36,92,49.76,35.04,11.21
385,Atikokan,88,75,48.76,14.3,6.17
386,Sonoita,90,100,31.68,57.78,8.05
387,Makat,76,88,47.65,18.21,3.15
388,Yagodnoye,32,71,62.52,-18.29,2.26
389,Moose Factory,90,71,51.26,3.2,3.36
390,Atbasar,48,79,51.81,-1.37,8.63
391,Clyde River,90,83,70.47,-11.21,24.16
392,Cap Malheureux,75,88,-19.98,80.6,2.24
393,Slave Lake,1,60,55.28,-25.61,6.93
394,Xichang,0,37,27.88,30.59,1.92
395,Gravdal,75,74,59.79,34.68,18.34
396,Karachi,0,58,24.87,59.0,11.41
397,Waingapu,80,99,-9.65,77.52,6.62
398,Santa Cruz,90,80,36.97,54.32,9.17
399,Chicama,75,83,-7.84,78.8,9.17
400,Ucluelet,75,54,48.94,30.2,8.05
401,Quatre Cocos,75,88,-20.21,80.6,2.24
402,Emerald,90,61,-23.53,80.6,20.8
403,Umea,90,85,63.83,12.2,13.87
404,Sao Joao do Piaui,68,54,-8.36,82.34,3.49
405,Estelle,75,68,32.87,70.9,14.99
406,Kasongo-Lunda,12,97,-6.48,70.82,0.92
407,Mikhaylovskaya,0,92,44.99,33.74,8.75
408,Pychas,92,89,56.5,11.46,10.31
409,Hammelburg,80,92,50.12,30.09,3.49
410,Sao Filipe,68,99,14.9,70.86,13.78
411,Abu Samrah,0,73,35.3,36.89,3.04
412,Banjar,32,95,-7.37,71.99,3.15
413,Lavrentiya,48,90,65.58,22.44,11.21
414,Tamandare,48,98,-8.28,73.16,3.49
415,Saint-Joseph,0,86,43.56,43.43,4.7
416,Kaseda,40,76,31.42,48.2,13.87
417,Ippy,44,63,6.26,79.77,2.71
418,Port Hedland,90,83,-20.31,84.2,18.34
419,Manta,68,81,45.1,35.81,1.92
420,Roebourne,8,75,-20.77,84.77,8.63
421,Lupiro,80,100,-8.39,69.56,2.93
422,Rio Gallegos,20,27,-51.62,87.8,8.05
423,Rantepao,32,98,-2.97,69.47,2.59
424,Berlevag,0,56,70.86,13.32,14.99
425,Abu Kamal,0,67,34.45,31.4,3.6
426,Carballo,0,75,43.21,40.87,3.36
427,Pisco,0,30,-13.71,71.6,23.04
428,Mecca,0,86,21.43,56.24,2.59
429,Isangel,56,100,-19.55,77.39,12.77
430,Maragogi,92,96,-9.01,78.2,4.83
431,Muravlenko,56,42,63.79,-26.61,9.64
432,Balikpapan,76,100,-1.24,78.83,5.39
433,Krasnyy Chikoy,32,37,50.36,-26.93,1.03
434,Ojinaga,40,22,29.56,77.54,4.16
435,Westford,1,63,42.58,35.58,6.93
436,Ergani,0,86,38.27,27.14,4.7
437,Boyolangu,56,94,-8.09,74.15,3.83
438,Harer,90,89,42.19,32.0,10.29
439,Kampene,48,93,-3.59,70.64,1.92
440,Springdale,90,69,36.19,63.64,11.41
441,Kununurra,75,88,-15.77,78.8,1.12
442,Pitimbu,90,100,-7.47,77.0,5.82
443,Tateyama,75,87,36.66,48.2,9.17
444,Bassar,0,48,9.26,82.4,4.7
445,San-Pedro,8,91,4.75,77.93,7.96
446,Ganzhou,88,93,25.86,47.42,4.05
447,Vanimo,80,100,-2.67,82.43,11.99
448,Susangerd,0,71,31.56,53.6,6.93
449,Huaihua,80,100,27.56,40.44,8.19
450,Yulara,0,28,-25.24,84.2,9.17
451,Sal Rei,75,72,16.18,68.0,11.41
452,Ouargaye,8,38,11.5,78.96,7.74
453,Deutschlandsberg,0,74,46.81,35.1,4.7
454,Mandera,0,39,3.94,71.9,7.4
455,Nushki,8,80,29.55,40.89,3.15
456,Northam,92,87,51.04,43.88,8.05
457,Geraldton,90,77,49.72,3.2,8.05
458,Tarko-Sale,64,82,64.92,-18.24,11.1
459,Ozernovskiy,80,89,51.5,26.94,15.01
460,Luanda,75,83,-8.83,80.6,11.41
461,Depew,1,56,35.8,69.66,16.11
462,Pyaozerskiy,88,82,65.83,8.18,10.54
463,Shahrud,36,89,36.42,21.86,5.73
464,Soe,90,86,57.91,33.8,9.17
465,Hauterive,20,80,46.09,32.86,5.82
466,Itupiranga,20,94,-5.13,78.8,1.12
467,Westport,0,96,53.8,46.07,19.15
468,Zolotonosha,68,89,49.67,37.7,12.66
469,Xining,8,46,36.62,3.95,4.38
470,Camocim,48,93,-2.9,78.24,7.18
471,Ouallam,0,29,14.32,65.82,7.4
472,Lazaro Cardenas,75,25,28.39,73.4,8.05
473,Cam Ranh,40,88,11.92,75.2,1.12
474,Mumford,20,94,5.26,78.42,6.62
475,Havelock,90,96,34.88,51.58,18.34
476,Kupino,8,51,54.36,-30.44,8.19
477,Sheridan,1,30,39.65,54.84,23.04
478,Margate,75,77,-43.03,62.6,13.87
479,Arvika,0,92,59.65,8.53,3.36
480,Debre Sina,0,72,9.85,35.45,0.47
481,Palembang,75,94,-2.99,77.0,3.36
482,Mont-Dore,75,69,-22.23,82.4,10.29
483,Sabzevar,92,99,36.21,33.69,3.15
484,Tessalit,0,30,20.2,54.84,11.99
485,North Bend,90,70,43.41,48.02,10.29
486,Pauini,32,92,-7.71,77.84,2.59
487,Rawson,0,24,-43.3,80.67,12.77
488,Arman,76,67,59.7,-2.0,10.2
489,Krasnik,0,93,50.92,35.6,4.7
490,Turukhansk,20,0,65.8,-39.17,3.15
491,La Asuncion,76,86,-1.64,51.2,2.15
492,Santa Fe,32,67,-31.62,66.68,6.96
493,Springbok,0,83,-29.67,49.76,3.6
494,Daro,56,74,8.52,73.92,2.48
495,Batagay-Alyta,24,0,67.8,-37.64,2.82
496,Pundaguitan,64,100,6.37,78.87,8.3
497,Half Moon Bay,90,76,37.46,55.56,13.87
498,Florianopolis,75,94,-27.6,68.0,13.87
499,Hasaki,20,77,35.73,57.7,18.34
500,Rassvet,90,93,47.2,43.56,10.29
501,Harper,1,58,30.3,72.25,17.22
502,Lipno,92,98,52.85,32.66,12.21
503,Grindavik,40,92,63.84,26.49,6.93
504,Chateaubelair,40,73,13.28,78.24,8.05
505,Mizdah,0,47,31.45,43.37,12.21
506,Yabrud,0,74,33.97,33.8,4.16
507,Mount Gambier,90,72,-37.83,64.4,17.22
508,Mahibadhoo,88,100,3.78,81.12,13.44
509,Aquiraz,75,78,-3.9,82.4,6.93
510,Eyrarbakki,40,92,63.86,24.8,7.07
511,Katangli,48,100,51.71,8.81,13.11
512,Rebrikha,8,47,53.08,-29.27,6.4
513,Saint-Junien,0,86,45.89,32.16,5.82
514,Camacha,40,62,33.08,60.03,16.11
515,Guiratinga,20,64,-16.35,81.84,2.71
516,Sumbe,12,100,-11.2,77.39,5.95
517,Oyama,75,76,36.31,56.43,6.93
518,Susner,0,90,23.94,50.84,3.04
519,Sistranda,90,92,63.73,24.8,14.99
520,Coos Bay,90,70,43.37,48.02,10.29
521,Roros,76,92,62.57,12.2,4.7
522,Villa Nueva,20,50,14.53,77.0,9.17
523,Kedrovyy,0,64,56.17,-43.61,2.24
524,Isakly,92,89,54.13,11.51,3.94
525,Nuuk,12,35,64.17,26.6,13.87
526,Maningrida,36,77,-12.05,85.89,27.42
527,Beira,0,75,43.2,40.8,3.36
528,Bonga,0,68,7.26,56.06,1.36
529,Gladstone,75,78,-23.84,77.0,10.29
530,Yiyang,100,100,28.59,39.27,7.74
531,Sretensk,0,77,52.24,-39.44,2.59
532,Shenjiamen,100,93,29.96,49.58,18.48
533,Chernyshevskiy,32,76,63.01,-38.18,3.6
534,Visnes,75,80,59.36,33.8,19.46
535,Namibe,12,100,-15.19,77.79,6.85
536,Bahia Blanca,0,73,-38.72,70.73,11.65
537,Belyy Yar,0,67,53.6,-22.01,6.71
538,Yhu,92,97,-25.05,71.18,10.09
539,Eqbaliyeh,0,69,35.3,34.68,11.41
540,The Valley,20,69,18.22,77.94,8.05
541,Handlova,90,93,48.73,34.34,2.24
542,Hervey Bay,75,83,-25.3,77.0,8.05
543,Lima,0,69,-12.06,80.6,12.75
544,Santa Isabel,75,51,4.71,77.41,5.82
545,Itarema,24,95,-2.92,77.21,6.85
546,Trairi,48,100,-3.28,81.08,7.96
547,Am Timan,0,37,11.04,73.92,6.17
548,Haines Junction,32,61,60.75,-15.5,2.48
549,Ilorin,0,63,8.5,78.74,2.37
550,Garden City,40,56,40.73,43.47,4.27
551,Del Rio,1,65,29.36,73.31,8.05
552,Nokaneng,0,91,-19.66,68.16,2.93
553,Buenos Aires,0,53,-34.61,72.43,12.75
554,Hobyo,68,80,5.35,76.26,17.69
